170.2866201	0.060914083
175.3892771	0.075389445
182.6787871	0.081528684
188.5103951	0.086434056
194.1597654	0.090888014
200.5380866	0.091339428
207.0986456	0.094348859
214.3881556	0.097147629
221.8599034	0.101710679
230.0606021	0.104911961
239.1724896	0.101059889
254.8449362	0.092803106
260.4943064	0.088360092
265.4147257	0.079271611
270.5173827	0.072771241
275.6200397	0.059048236
280.5404589	0.050651925
285.4608782	0.03888505
290.5635352	0.027930723
295.4839545	0.018491141
300.4043737	0.011288571
305.5070307	0.007737442
