,objid,ps_score,angDist,_RAJ2000,_DEJ2000,Filt1,Filt2,RAJ2000,DEJ2000,ABmag1,mag1,Errmag1,Field1,RA2deg,DE2deg,ABmag2,mag2,Errmag2,Field2,Sep,objID,RAJ2000.1,DEJ2000.1,errHalfMaj,errHalfMin,errPosAng,f_objID,Qual,Epoch,Ns,Nd,gmag,e_gmag,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags
8472,156870102254026003,0.91270834,0.213297,10.2255,40.7295,FUVCaF2,FUVSapphire,10.2255,40.7295,21.614,19.213,0.124,14,10.2254,40.7295,21.685,19.564,0.114,14,0.3,156870102254026003,10.22542682,40.72952086,0.018,0.009,90,436527104,52,55974.46021991,5,60,19.4071,0.019,19.5346,0.0201,115000,19.3663,0.0155,19.5878,0.0352,115000,19.4495,0.0109,19.6729,0.0247,115000,19.588,0.0291,19.7557,0.0446,115000,19.6572,0.0455,19.7766,0.0759,115000
8476,156970099061052435,0.6920417,0.106258,9.9061,40.8098,FUVCaF2,FUVSapphire,9.9061,40.8098,22.537,20.136,0.142,"14, 17",9.9061,40.8098,22.031,19.91,0.092,"14, 17",0.14,156970099061052435,9.90606101,40.80980056,0.072,0.054,0,436527104,52,55882.9628588,3,13,21.2527,0.0467,21.3617,0.089,115000,21.698,0.0471,21.9873,0.1316,115000,21.6643,0.1024,,,115000,,,,,16416,,,,,16416
8478,157190100392761337,0.6386726,0.227134,10.0392,40.9923,FUVCaF2,FUVSapphire,10.0392,40.9923,19.359,16.958,0.053,17,10.0392,40.9923,19.363,17.242,0.049,17,0.05,157190100392761337,10.03926611,40.99226139,0.017,0.004,90,444915712,53,56029.72251157,10,77,18.9048,0.0142,18.8696,0.0137,16892216,19.0273,0.0218,18.9471,0.0298,16892216,19.1927,0.0172,19.0203,0.0254,16892216,19.3277,0.0534,18.9529,0.0393,16892216,19.3785,0.0457,18.8792,0.0792,16892216
8479,157050102592252665,0.5130714,0.846459,10.2593,40.8765,FUVCaF2,FUVSilica,10.2593,40.8765,21.609,19.208,0.12,3,10.2592,40.8767,21.385,23.372,0.171,3,0.94,157050102592252665,10.2592247,40.87672813,0.046,0.024,0,436527104,52,55711.70909722,3,26,20.7184,0.057,20.669,0.1584,16892216,20.9741,0.061,20.8515,0.0876,115000,21.3823,0.04,,,115000,,,,,16416,,,,,16416
8485,156890101384899409,0.71921426,0.189194,10.1384,40.749,FUVCaF2,FUVSapphire,10.1384,40.749,19.544,17.143,0.057,14,10.1384,40.749,19.554,17.433,0.052,14,0.02,156890101384899409,10.13846378,40.74897933,0.017,0.008,0,436527104,52,55980.23548611,5,64,17.8634,0.0105,17.7153,0.0618,16892216,18.0488,0.0135,17.9483,0.0325,16892216,18.2257,0.0112,18.14,0.0471,16892216,18.416,0.0094,18.4089,0.0385,115000,18.4823,0.0039,18.501,0.0335,115000
8486,156810108630637173,0.995,0.314647,10.8631,40.6803,FUVCaF2,FUVSilica,10.8631,40.6803,23.014,20.613,0.23,6,10.863,40.6803,21.195,23.182,0.159,6,0.07,156810108630637173,10.86305171,40.68037936,0.073,0.029,0,503635968,60,55989.63797454,5,72,13.4906,0.0074,13.5323,0.0011,115000,13.354,,,,114724,13.185,,,,114724,13.0586,0.0024,13.0799,0.0031,16892216,13.0061,0.0068,13.0154,0.0012,115000
8494,156890101152971614,0.66575,0.08716,10.1153,40.7425,FUVCaF2,FUVSapphire,10.1153,40.7425,20.343,17.942,0.074,14,10.1153,40.7425,20.362,18.241,0.067,14,0.08,156890101152971614,10.11527554,40.74248442,0.029,0.018,0,436527104,52,55950.73283565,5,36,20.3598,0.0226,20.2955,0.0478,16892216,20.8009,0.0431,20.9297,0.1211,115000,21.1079,0.0538,21.1559,0.107,115000,20.5628,0.2516,20.7525,0.1544,115000,20.1047,0.1261,,,115000
8495,156990107634860107,0.98170835,0.679305,10.7637,40.8246,NUVN2,NUVB15,10.7637,40.8246,21.991,20.274,0.203,6,10.7635,40.8245,20.697,19.197,0.16,6,0.67,156990107634860107,10.76346339,40.82454043,0.006,0.003,90,503635968,60,55973.71767361,5,54,17.9364,0.0019,18.0057,0.0059,115000,17.652,0.009,17.7524,0.0101,115000,17.5539,0.0051,17.6031,0.0069,115000,17.569,0.0063,17.6644,0.0145,115000,17.5456,0.0065,17.6329,0.0123,115000
8499,156970107409869351,0.978125,0.086462,10.741,40.8156,FUVCaF2,FUVSilica,10.741,40.8156,20.048,17.647,0.065,6,10.741,40.8156,19.602,21.589,0.08,6,0.14,156970107409869351,10.74097101,40.81559023,0.007,0.007,90,436527104,52,56005.9621875,5,53,18.7277,0.0066,18.7843,0.0126,115000,18.8801,0.0138,19.0685,0.0156,115000,19.0855,0.0237,19.0248,0.055,115000,19.3683,0.0169,19.6055,0.0388,115000,19.461,0.0324,19.7235,0.022,115000
8507,156880101191514759,0.936875,0.097564,10.1191,40.7368,FUVCaF2,FUVSapphire,10.1191,40.7368,21.379,18.978,0.116,14,10.1191,40.7368,21.35,19.229,0.1,14,0.09,156880101191514759,10.11910613,40.7367733,0.026,0.017,0,444915712,53,55919.82957176,4,34,20.4573,0.0274,20.207,0.0735,16892216,20.7829,0.0423,20.4619,0.073,16892216,21.0314,0.042,20.6899,0.0604,16892216,21.2172,0.1611,,,115000,,,,,16416
8526,157000108964178522,0.9925,0.188294,10.8964,40.8399,NUVN2,NUVB15,10.8964,40.8399,19.494,17.777,0.07,6,10.8964,40.8399,17.935,16.435,0.054,6,0.06,157000108964178522,10.89637759,40.83985052,0.005,0.005,90,503635968,60,55901.8894213,5,68,14.4504,0.0013,14.4943,0.004,115000,14.0779,0.0024,14.1288,0.0012,115000,13.9545,0.0025,13.9954,0.0023,115000,13.9302,0.0035,13.9733,0.0022,115000,13.9049,0.0028,13.9112,0.0033,115000
8528,156890100958848652,0.6781815,0.040443,10.0958,40.7484,FUVCaF2,FUVSapphire,10.0958,40.7484,20.628,18.227,0.082,14,10.0958,40.7484,20.736,18.615,0.077,14,0.02,156890100958848652,10.09581071,40.74839223,0.068,0.031,0,444915712,53,55937.11716435,3,29,20.3649,0.0251,20.2633,0.0843,16892216,20.4793,0.0293,20.3819,0.0731,16892216,20.5516,0.0437,19.9558,0.0796,16892216,,,,,16416,,,,,16416
8530,157070110839520451,0.98291665,0.466985,11.084,40.8916,NUVN2,NUVB15,11.084,40.8916,21.729,20.012,0.182,6,11.0839,40.8915,20.75,19.25,0.164,6,0.43,157070110839520451,11.08391668,40.8914866,0.008,0.003,90,503635968,60,55981.32519676,5,66,17.8664,0.0026,17.9052,0.0051,115000,17.5345,0.0022,17.5821,0.0062,115000,17.4091,0.005,17.4418,0.0096,115000,17.381,0.0062,17.4546,0.0118,115000,17.3633,0.0101,17.421,0.0234,115000
