,objid,ps_score,angDist,_RAJ2000,_DEJ2000,Filt1,Filt2,RAJ2000,DEJ2000,ABmag1,mag1,Errmag1,Field1,RA2deg,DE2deg,ABmag2,mag2,Errmag2,Field2,Sep,objID,RAJ2000.1,DEJ2000.1,errHalfMaj,errHalfMin,errPosAng,f_objID,Qual,Epoch,Ns,Nd,gmag,e_gmag,gKmag,e_gKmag,gFlags,rmag,e_rmag,rKmag,e_rKmag,rFlags,imag,e_imag,iKmag,e_iKmag,iFlags,zmag,e_zmag,zKmag,e_zKmag,zFlags,ymag,e_ymag,yKmag,e_yKmag,yFlags
1,156220096437009650,0.6213095,0.218721,9.6438,40.1909,FUVCaF2,FUVSapphire,9.6438,40.1909,21.762,19.361,0.128,15,9.6437,40.1909,22.299,20.178,0.15,15,0.19,156220096437009650,9.643761,40.19084705,0.049,0.023,0,436527104,52,55889.2347338,3,36,21.248,0.0402,21.3327,0.0795,115000,21.5735,0.0449,21.7653,0.0648,115000,21.7263,0.056,21.8934,0.2391,115000,,,,,16416,,,,,16416
3,156380098067731036,0.8854167,0.197373,9.8069,40.317,FUVCaF2,FUVSapphire,9.8069,40.317,22.082,19.681,0.152,15,9.8068,40.317,22.228,20.107,0.147,15,0.33,156380098067731036,9.80683453,40.31702267,0.028,0.02,0,436527104,52,55959.12534722,4,30,21.0241,0.0255,21.244,0.0285,115000,21.1769,0.0264,21.3437,0.1428,115000,21.4148,0.0684,21.7837,0.2092,115000,,,,,114720,,,,,16416
4,156230100977399002,0.98913693,0.438628,10.0976,40.1985,FUVCaF2,FUVSapphire,10.0976,40.1985,22.707,20.306,0.199,19,10.0977,40.1985,22.066,19.945,0.127,19,0.31,156230100977399002,10.09771771,40.19858223,0.007,0.005,90,503635968,60,55851.7052662,5,74,14.1833,0.0021,14.242,0.0033,115000,13.8891,0.0031,13.9268,0.0022,115000,13.7775,0.0022,13.8308,0.0022,115000,13.7909,0.0038,13.8274,0.0029,115000,13.7681,0.0038,13.7914,0.003,115000
5,156330104086717519,0.974375,0.251129,10.4086,40.2807,FUVCaF2,FUVSapphire,10.4086,40.2807,22.69,20.289,0.191,19,10.4086,40.2807,22.787,20.666,0.186,19,0.11,156330104086717519,10.40868649,40.28067736,0.08,0.031,0,906289152,108,56045.00585648,5,64,13.239,,,,114724,12.862,,,,114724,12.717,,,,114724,12.656,,,,114724,12.5919,0.0036,12.6049,0.0032,115000
6,156350098953805332,0.95208335,0.163882,9.8954,40.2955,FUVCaF2,FUVSapphire,9.8954,40.2955,19.919,17.518,0.063,15,9.8954,40.2955,20.245,18.124,0.064,15,0.19,156350098953805332,9.89545937,40.29549533,0.017,0.011,0,436527104,52,55792.26826389,5,30,19.9993,0.0093,20.0869,0.0218,115000,20.297,0.0171,20.4853,0.0309,115000,20.7129,0.0404,21.119,0.0655,115000,20.7811,0.1171,20.8006,0.1505,115000,20.5503,0.2542,,,118840
7,156110100482184787,0.5495893,0.205748,10.0484,40.0953,FUVCaF2,FUVSapphire,10.0484,40.0953,21.479,19.078,0.116,19,10.0484,40.0953,21.304,19.183,0.095,19,0.08,156110100482184787,10.04836006,40.0952517,0.136,0.06,0,436527104,52,55856.21159722,6,20,21.4932,0.0307,21.4884,0.1337,115000,21.8407,0.0873,21.6199,0.1344,115000,21.8723,0.1665,21.9277,0.314,115000,,,,,16416,,,,,16416
9,156190096641658283,0.9309137,0.186861,9.6642,40.1646,FUVCaF2,FUVSapphire,9.6642,40.1646,22.553,20.152,0.191,15,9.6642,40.1646,22.293,20.172,0.152,15,0.09,156190096641658283,9.66418515,40.16465065,0.029,0.018,90,436527104,52,56001.63008102,5,65,19.7193,0.0148,19.8153,0.0242,115000,19.8827,0.0324,20.0208,0.0126,115000,20.077,0.0119,20.1714,0.026,115000,20.1443,0.0271,20.2658,0.0506,115000,19.9648,0.052,19.9034,0.2,115000
14,156240097158064153,0.99791664,0.294127,9.7158,40.2028,FUVCaF2,FUVSapphire,9.7158,40.2028,22.773,20.372,0.199,15,9.7156,40.2028,23.189,21.068,0.221,15,0.54,156240097158064153,9.71583849,40.20287623,0.017,0.007,90,503635968,60,55841.77021991,5,73,13.8337,0.0017,13.894,0.0018,115000,13.4784,0.0028,13.5173,0.0037,16892216,13.409,,,,114724,13.3615,0.0034,13.4105,0.0017,115000,13.3353,0.0032,13.3579,0.0028,115000
15,156090101139252987,0.94175,0.249749,10.1139,40.0769,FUVCaF2,FUVSapphire,10.1139,40.0769,20.745,18.344,0.086,19,10.1139,40.077,20.808,18.687,0.078,19,0.09,156090101139252987,10.11386526,40.07696408,0.022,0.013,0,436527104,52,55829.65775463,5,42,20.5316,0.0183,20.7329,0.0425,115000,20.8459,0.0236,20.9317,0.0649,115000,21.1861,0.0642,21.2634,0.1949,115000,20.8566,0.3051,,,115000,,,,,114720
16,156240099895844485,0.60177976,0.610185,9.9895,40.203,FUVCaF2,FUVSapphire,9.9895,40.203,22.499,20.098,0.128,"15, 19",9.9895,40.203,22.566,20.445,0.123,"15, 19",0.15,156240099895844485,9.98946647,40.20316755,0.082,0.058,0,436527104,52,55873.92565972,3,13,21.7853,0.0378,22.0279,0.0898,115000,22.0409,0.0647,21.6391,0.3125,115000,,,,,114720,,,,,16416,,,,,16416
17,156380098751458890,0.8555,0.179121,9.8752,40.3235,FUVCaF2,FUVSapphire,9.8752,40.3235,22.778,20.377,0.22,15,9.8751,40.3235,22.187,20.066,0.141,15,0.31,156380098751458890,9.87515625,40.32353692,0.039,0.024,0,436527104,52,55925.57398148,3,26,21.1362,0.0409,21.2305,0.0602,115000,21.3604,0.041,21.3997,0.0884,115000,21.6546,0.0762,21.8305,0.0891,115000,20.4704,0.1974,,,20536,,,,,16416
19,156330102788220597,0.972625,0.380787,10.2787,40.275,FUVCaF2,FUVSapphire,10.2787,40.275,20.678,18.277,0.083,19,10.2788,40.275,20.938,18.817,0.083,19,0.12,156330102788220597,10.27879743,40.27492475,0.025,0.014,0,436527104,52,55927.64429398,4,35,20.4824,0.0184,20.5993,0.0124,115000,20.7765,0.0186,20.9852,0.0424,115000,21.1452,0.0523,21.3219,0.0382,115000,21.4004,0.2651,21.8314,0.3055,115000,,,,,16416
20,156340100627246655,0.7092083,0.164302,10.0627,40.2883,FUVCaF2,FUVSapphire,10.0627,40.2883,21.134,18.733,0.071,"15, 19",10.0627,40.2883,21.269,19.148,0.068,"15, 19",0.08,156340100627246655,10.06274693,40.28832831,0.038,0.025,0,436527104,52,55878.58300926,5,21,21.1305,0.029,21.1417,0.0763,115000,21.3415,0.0374,21.3365,0.0686,115000,21.418,0.1067,21.4602,0.1593,16892216,,,,,16416,,,,,16416
22,156340102994055460,0.9357917,0.178041,10.2995,40.2874,FUVCaF2,FUVSapphire,10.2995,40.2874,21.192,18.791,0.104,19,10.2993,40.2874,21.152,19.031,0.09,19,0.32,156340102994055460,10.29943517,40.28739947,0.027,0.018,0,436527104,52,55953.69311343,5,34,21.014,0.0315,21.1308,0.0429,115000,21.0419,0.0491,21.1611,0.0769,115000,21.1228,0.0275,21.2802,0.0838,115000,21.1304,0.1806,,,115000,,,,,114720
25,156110100757813044,0.7177381,0.140721,10.0758,40.0937,FUVCaF2,FUVSapphire,10.0758,40.0937,21.206,18.805,0.102,19,10.0758,40.0936,21.298,19.177,0.095,19,0.15,156110100757813044,10.07583812,40.09367397,0.07,0.043,0,436527104,52,55870.33594907,6,19,21.4923,0.0418,21.6185,0.0509,115000,21.7806,0.0683,21.5988,0.1353,115000,22.0558,0.1807,,,115000,,,,,16416,,,,,16416
30,156390099151975360,0.6236761,0.179267,9.9151,40.329,FUVCaF2,FUVSapphire,9.9151,40.329,20.373,17.972,0.075,15,9.9151,40.3289,20.426,18.305,0.069,15,0.13,156390099151975360,9.91514195,40.32896183,0.024,0.012,0,436527104,52,56018.43519676,5,39,20.3467,0.0381,20.3583,0.0399,115000,20.5401,0.0494,20.3043,0.0295,16892216,20.9478,0.0445,21.0951,0.0676,115000,21.2127,0.1573,21.2807,0.2615,115000,,,,,114720
31,156390099024568011,0.77533334,0.36223,9.9023,40.3311,FUVCaF2,FUVSapphire,9.9023,40.3311,22.153,19.752,0.164,15,9.9024,40.3312,22.081,19.96,0.137,15,0.16,156390099024568011,9.90241173,40.33115357,0.034,0.019,0,436527104,52,56019.15898148,5,30,20.9071,0.0303,21.0589,0.0662,115000,21.0549,0.0143,21.3033,0.1109,115000,21.1548,0.0621,20.9983,0.1561,115000,20.8895,0.12,,,115000,19.9764,0.2522,,,118840
32,156390099004687314,0.65482146,0.447919,9.9004,40.3307,FUVCaF2,FUVSapphire,9.9004,40.3307,22.54,20.139,0.197,15,9.9004,40.3306,22.725,20.604,0.193,15,0.19,156390099004687314,9.90045368,40.3305825,0.058,0.058,90,436363264,52,56215.51077546,2,4,21.5574,0.0823,21.6654,0.0889,115000,21.9709,0.1818,,,115000,,,,,16416,,,,,16416,,,,,16416
42,156390099356706232,0.5800357,0.215114,9.9357,40.3296,FUVCaF2,FUVSapphire,9.9357,40.3296,22.389,19.988,0.188,15,9.9358,40.3295,22.185,20.064,0.11,"15, 19",0.43,156390099356706232,9.93572438,40.32965679,0.07,0.035,0,436527104,52,56151.60652778,5,19,21.5657,0.0525,21.585,0.1367,115000,21.5516,0.0698,21.5021,0.0977,115000,21.2818,0.0419,21.3867,0.1317,115000,20.7549,0.0879,20.7138,0.1066,115000,20.3168,0.1846,,,115000
43,156160099105954710,0.55201787,0.445997,9.9106,40.1368,FUVCaF2,FUVSapphire,9.9106,40.1368,21.151,18.75,0.099,15,9.9106,40.1367,21.85,19.729,0.123,15,0.29,156160099105954710,9.91066946,40.13668807,0.112,0.057,0,436527104,52,55948.35303241,2,16,21.4728,0.0549,21.4871,0.0791,115000,21.6789,0.0542,21.6021,0.1309,115000,,,,,16416,,,,,16416,,,,,16416
45,156130101262211624,0.9972917,0.2664,10.1261,40.1091,FUVCaF2,FUVSapphire,10.1261,40.1091,22.772,20.371,0.205,19,10.1262,40.109,22.508,20.387,0.159,19,0.33,156130101262211624,10.12619669,40.10909729,0.007,0.006,90,503635968,60,55948.51739583,5,68,14.8257,0.0019,14.8733,0.003,115000,14.5475,0.0006,14.5967,0.0032,115000,14.466,0.0013,14.5188,0.0023,115000,14.4685,0.001,14.5285,0.0024,115000,14.4626,0.0037,14.4818,0.0025,115000
47,156380097436378753,0.9042708,0.491126,9.7437,40.3236,FUVCaF2,FUVSapphire,9.7437,40.3236,22.186,19.785,0.16,15,9.7436,40.3236,22.733,20.612,0.19,15,0.26,156380097436378753,9.74366514,40.32346619,0.022,0.019,0,436527104,52,56165.65025463,5,49,21.6212,0.0418,21.7832,0.0717,115000,21.6892,0.0747,21.6243,0.2181,115000,20.9491,0.0365,21.2183,0.0496,115000,19.8497,0.0834,20.023,0.0805,115000,19.3139,0.0688,19.3971,0.1258,115000
48,156390098824192501,0.58283335,0.065251,9.8824,40.3266,FUVCaF2,FUVSapphire,9.8824,40.3266,22.04,19.639,0.154,15,9.8824,40.3266,21.813,19.692,0.117,15,0.2,156390098824192501,9.88239852,40.32658191,0.046,0.034,0,436527104,52,55950.49953704,3,22,21.0305,0.0206,21.0167,0.0458,115000,21.261,0.0676,21.2242,0.0478,115000,21.5205,0.1158,22.0356,0.2564,114744,,,,,16416,,,,,16416
50,156360098376943823,0.5719524,0.244453,9.8377,40.3027,FUVCaF2,FUVSapphire,9.8377,40.3027,21.386,18.985,0.112,15,9.8376,40.3027,21.758,19.637,0.121,15,0.14,156360098376943823,9.83770319,40.30276786,0.135,0.042,0,436527104,52,55914.13449074,2,15,21.1998,0.0259,21.2083,0.0446,115000,21.3629,0.0945,21.2798,0.1991,16892216,,,,,16416,,,,,16416,,,,,16416
51,156390097571888912,0.55872023,0.919543,9.7568,40.3316,FUVCaF2,FUVSapphire,9.7568,40.3316,20.541,18.14,0.08,15,9.7568,40.3316,20.592,18.471,0.072,15,0.07,156390097571888912,9.75704919,40.33177076,0.063,0.063,90,1375805440,164,55812.15326389,1,4,22.0774,0.2381,22.2474,0.2669,4120,,,,,0,20.6559,0.0824,20.4743,0.115,16777496,20.8028,0.0462,20.9034,0.038,115000,,,,,0
53,156370098767033759,0.90669644,0.229334,9.877,40.3109,FUVCaF2,FUVSapphire,9.877,40.3109,20.686,18.285,0.084,15,9.877,40.3108,20.721,18.6,0.076,15,0.17,156370098767033759,9.87697851,40.31083844,0.046,0.023,0,436527104,52,55988.09471065,5,30,19.965,0.0099,20.0604,0.0219,115000,20.2019,0.0141,20.3415,0.017,115000,20.354,0.0372,20.5949,0.0518,115000,20.4338,0.0701,20.4984,0.1142,115000,,,,,114720
55,156120100447181015,0.8211111,0.355174,10.0447,40.1002,FUVCaF2,FUVSapphire,10.0447,40.1002,21.001,18.6,0.095,19,10.0447,40.1002,20.903,18.782,0.08,19,0.07,156120100447181015,10.04466018,40.10029384,0.067,0.041,0,436527104,52,55892.27028935,6,21,21.3228,0.0325,21.4249,0.0788,115000,21.6774,0.0596,21.7054,0.1069,115000,21.9116,0.0307,,,115000,,,,,16416,,,,,16416
56,156350097582308302,0.5562619,0.05003,9.7582,40.2981,FUVCaF2,FUVSapphire,9.7582,40.2981,22.495,20.094,0.184,15,9.7581,40.2981,22.189,20.068,0.139,15,0.24,156350097582308302,9.75818484,40.29809229,0.063,0.043,0,436527104,52,55862.17744213,4,23,21.6163,0.0397,21.7536,0.0493,115000,21.6865,0.0528,21.7658,0.1218,115000,21.7578,0.1058,22.0287,0.1118,115000,,,,,114720,,,,,16416
59,156350098583054874,0.6946369,0.080826,9.8583,40.2951,FUVCaF2,FUVSapphire,9.8583,40.2951,22.724,20.323,0.202,15,9.8581,40.2951,22.676,20.555,0.176,15,0.47,156350098583054874,9.85829964,40.29512245,0.141,0.051,0,436527104,52,55946.49361111,2,10,21.8162,0.0323,21.7355,0.1977,115000,22.0247,0.1797,21.6203,0.2606,115000,,,,,16416,,,,,16416,,,,,16416
61,156130100469459339,0.9714583,0.454823,10.0469,40.1154,FUVCaF2,FUVSapphire,10.0469,40.1154,23.125,20.724,0.256,19,10.0469,40.1154,22.235,20.114,0.138,19,0.01,156130100469459339,10.04697546,40.11551239,0.02,0.02,0,637853696,76,55940.41748843,10,70,13.428,,,,98340,13.055,,,,114724,12.897,,,,98340,12.819,,,,98340,12.6861,0.0017,12.7093,0.003,115000
65,156280102112967394,0.8052143,0.260652,10.2112,40.239,FUVCaF2,FUVSapphire,10.2112,40.239,22.089,19.688,0.153,19,10.2112,40.239,22.343,20.222,0.154,19,0.01,156280102112967394,10.21127207,40.23904707,0.76,0.252,0,436527104,52,56123.09298611,3,8,21.8024,0.0613,21.7818,0.0451,115000,,,,,114720,,,,,114720,,,,,16416,,,,,16416
68,156150102982811633,0.9916667,0.19742,10.2982,40.1259,FUVCaF2,FUVSapphire,10.2982,40.1259,22.411,20.01,0.175,19,10.2983,40.1259,22.135,20.014,0.135,19,0.35,156150102982811633,10.2982455,40.12585761,0.02,0.012,0,436527104,52,55940.51175926,4,43,20.5647,0.0164,20.6669,0.0397,115000,20.6792,0.02,20.771,0.0456,115000,20.971,0.0312,21.0875,0.0851,115000,20.9643,0.1443,21.7944,0.0882,115000,,,,,16416
70,156090100861944865,0.56041664,0.250561,10.086,40.0785,FUVCaF2,FUVSapphire,10.086,40.0785,22.41,20.009,0.175,19,10.086,40.0785,22.373,20.252,0.148,19,0.11,156090100861944865,10.08608075,40.07846796,0.081,0.027,0,436527248,52,55893.19952546,4,25,21.2811,0.0501,21.3438,0.0873,115000,21.4657,0.0609,21.5672,0.0441,115000,21.6448,0.0626,21.8902,0.0475,115000,21.7709,0.2433,,,118840,,,,,16416
73,156370098759615927,0.67391664,0.320291,9.8758,40.3128,FUVCaF2,FUVSapphire,9.8758,40.3128,21.242,18.841,0.107,15,9.8758,40.3127,21.667,19.546,0.116,15,0.12,156370098759615927,9.87588833,40.31274187,0.043,0.025,0,436527104,52,56006.20282407,4,26,20.8468,0.0252,20.8829,0.0777,115000,20.9794,0.0503,20.8143,0.0987,16892216,20.8665,0.0268,20.8161,0.0179,115000,,,,,114720,,,,,16416
76,156390098909038131,0.90358335,0.296238,9.8909,40.3311,FUVCaF2,FUVSapphire,9.8909,40.3311,21.899,19.498,0.142,15,9.8908,40.3311,21.943,19.822,0.129,15,0.14,156390098909038131,9.89087445,40.33117995,0.003,0.003,90,503635968,60,55951.55180556,5,64,14.3152,0.0031,14.3543,0.0028,115000,14.0522,0.0004,14.085,0.0012,115000,13.9778,0.0014,14.0155,0.0018,16892216,13.9774,0.0021,14.027,0.0025,115000,13.9743,0.0027,13.9775,0.0024,115000
81,156300100996731241,0.98125,0.223883,10.0996,40.2504,FUVCaF2,FUVSapphire,10.0996,40.2504,21.672,19.271,0.125,19,10.0996,40.2504,21.367,19.246,0.096,19,0.17,156300100996731241,10.09966518,40.25043732,0.019,0.016,0,906289152,108,55851.62549769,5,67,13.336,,,,114724,13.038,,,,114724,12.935,,,,114724,12.906,,,,114724,12.8933,0.0023,12.9,0.001,115000
82,156390097294896279,0.90991664,0.323801,9.7295,40.3298,FUVCaF2,FUVSapphire,9.7295,40.3298,21.996,19.595,0.147,15,9.7294,40.3298,22.036,19.915,0.131,15,0.31,156390097294896279,9.72954201,40.32971595,0.017,0.009,90,436527104,52,56064.28184028,5,57,19.6539,0.0118,19.6993,0.0183,115000,19.7869,0.0126,19.8466,0.0192,115000,19.9788,0.009,20.1391,0.0356,115000,20.0927,0.0214,20.173,0.0668,115000,20.0516,0.2116,,,115000
85,156150097357510475,0.65954167,0.289728,9.7358,40.1249,FUVCaF2,FUVSapphire,9.7358,40.1249,21.361,18.96,0.111,15,9.7357,40.1248,21.576,19.455,0.108,15,0.31,156150097357510475,9.73573071,40.12483942,0.063,0.039,0,436527104,52,55965.50293981,2,23,21.3472,0.0416,21.4961,0.0631,115000,21.6261,0.0349,21.8314,0.0666,115000,21.7435,0.0029,22.0095,0.245,16696,,,,,16416,,,,,16416
86,156380099129443832,0.70229465,0.089501,9.9129,40.3193,FUVCaF2,FUVSapphire,9.9129,40.3193,21.216,18.815,0.104,15,9.9129,40.3193,21.655,19.534,0.115,15,0.07,156380099129443832,9.91292329,40.3193174,0.046,0.021,0,436527104,52,55976.30731481,4,28,21.0291,0.0292,21.2399,0.0458,115000,21.1154,0.0459,21.1831,0.1462,115000,21.7104,0.0658,,,115000,,,,,114720,,,,,16416
88,156230104194038733,0.9975,0.089331,10.4194,40.1984,FUVCaF2,FUVSapphire,10.4194,40.1984,20.946,18.545,0.09,19,10.4194,40.1984,20.669,18.548,0.072,19,0.16,156230104194038733,10.41939453,40.19842446,0.028,0.005,90,906289152,108,55882.19668981,5,61,13.305,,,,114724,12.989,,,,114724,12.871,,,,114724,12.826,,,,114724,12.8104,0.005,12.7726,0.0055,115000
90,156360098654968011,0.65526485,0.172977,9.8654,40.3062,FUVCaF2,FUVSapphire,9.8654,40.3062,22.316,19.915,0.169,15,9.8653,40.3062,22.572,20.451,0.17,15,0.15,156360098654968011,9.8654627,40.30619526,0.155,0.087,0,436527104,52,55984.22354167,3,14,21.5105,0.049,21.5342,0.1081,115000,21.7256,0.0918,22.0018,0.0539,115000,21.8904,0.1978,,,115000,,,,,16416,,,,,16416
91,156330103199376852,0.65208334,0.855009,10.3193,40.2802,FUVCaF2,FUVSapphire,10.3193,40.2802,19.15,16.749,0.049,19,10.3193,40.2802,18.662,16.541,0.04,19,0.13,156330103199376852,10.31956955,40.28008117,0.001,0.001,90,1343750144,160,56006.34103009,1,9,,,,,16416,12.1768,0.001,12.497,0.001,16440,11.58,0.2003,13.0936,0.1205,16440,11.5241,0.001,12.115,0.001,16432,,,,,114720
94,156380096960867325,0.8178512,0.258365,9.6962,40.3223,FUVCaF2,FUVSapphire,9.6962,40.3223,22.068,19.667,0.151,15,9.6961,40.3223,22.09,19.969,0.137,15,0.22,156380096960867325,9.6961173,40.32226572,0.063,0.041,0,436527104,52,55826.05475694,3,17,21.3338,0.0143,21.4667,0.0769,115000,21.7387,0.0718,21.671,0.1577,115000,21.8327,0.2125,,,115000,,,,,16416,,,,,16416
96,156390098943734923,0.6820228,0.193721,9.8944,40.3285,FUVCaF2,FUVSapphire,9.8944,40.3285,21.067,18.666,0.1,15,9.8944,40.3285,21.23,19.109,0.096,15,0.15,156390098943734923,9.89438864,40.32855311,0.033,0.014,0,444915712,53,55995.81451389,2,10,20.0669,0.0452,19.5579,0.0279,16892216,,,,,114720,,,,,16416,,,,,16416,,,,,16416
97,156320098164767383,0.6375298,0.254173,9.8165,40.2722,FUVCaF2,FUVSapphire,9.8165,40.2722,22.695,20.294,0.199,15,9.8165,40.2722,22.691,20.57,0.177,15,0.17,156320098164767383,9.81652428,40.27226813,0.065,0.043,0,436527104,52,55915.54666667,3,25,21.6669,0.0619,21.72,0.0905,115000,21.5817,0.0553,21.6347,0.1102,115000,21.5369,0.0625,21.8013,0.1254,115000,,,,,16416,,,,,16416
99,156250102066105678,0.8664167,0.029431,10.2066,40.2125,FUVCaF2,FUVSapphire,10.2066,40.2125,22.493,20.092,0.18,19,10.2066,40.2125,22.712,20.591,0.177,19,0.19,156250102066105678,10.20659534,40.21250736,0.037,0.029,0,436527232,52,56052.25853009,5,29,21.6144,0.0532,21.705,0.1199,115000,21.4528,0.0945,21.2344,0.1939,16892216,21.2753,0.0555,21.3275,0.0617,115000,19.8446,0.0868,18.0456,0.0491,16892208,20.021,0.1595,19.3676,0.1908,16892216
100,156090100930440362,0.96770835,0.176227,10.093,40.0748,FUVCaF2,FUVSapphire,10.093,40.0748,22.641,20.24,0.191,19,10.093,40.0748,22.306,20.185,0.146,19,0.28,156090100930440362,10.09297256,40.07475578,0.01,0.005,0,436527104,52,55895.43954861,5,66,19.5219,0.0064,19.5685,0.016,115000,19.5623,0.0098,19.6439,0.025,115000,19.6336,0.0199,19.6966,0.0277,115000,19.7204,0.0179,19.7245,0.0565,115000,19.6491,0.0231,19.549,0.086,115000
103,156200096490585887,0.60063094,0.173505,9.6489,40.1712,FUVCaF2,FUVSapphire,9.6489,40.1712,22.26,19.859,0.166,15,9.6488,40.1711,22.346,20.225,0.149,15,0.26,156200096490585887,9.64887193,40.17115684,0.12,0.089,0,436527104,52,55879.66302083,2,10,22.0793,0.0672,22.3845,0.0646,115000,21.9786,0.0077,22.377,0.1913,115000,,,,,16416,,,,,16416,,,,,16416
108,156390096509918028,0.9443333,0.21003,9.651,40.3313,FUVCaF2,FUVSapphire,9.651,40.3313,22.478,20.077,0.177,15,9.651,40.3313,22.713,20.592,0.175,15,0.25,156390096509918028,9.65100696,40.3312419,0.025,0.021,0,436527104,52,55916.7596412,5,48,20.467,0.0179,20.4993,0.0364,115000,20.6435,0.0216,20.6598,0.0643,115000,20.9112,0.0395,20.797,0.0418,115000,21.0313,0.0268,21.0981,0.1945,115000,,,,,114720
113,156370098604328026,0.6263958,0.036718,9.8604,40.3145,FUVCaF2,FUVSapphire,9.8604,40.3145,22.12,19.719,0.159,15,9.8605,40.3145,22.674,20.553,0.193,15,0.39,156370098604328026,9.86041301,40.31450237,0.054,0.054,90,436363264,52,56018.28796296,2,5,21.6744,0.0369,21.3801,0.1332,115000,,,,,16416,,,,,114720,,,,,16416,,,,,16416
114,156370098746907974,0.89079165,0.353717,9.8747,40.3144,FUVCaF2,FUVSapphire,9.8747,40.3144,21.49,19.089,0.119,15,9.8746,40.3144,21.803,19.682,0.122,15,0.1,156370098746907974,9.87462195,40.31447818,0.014,0.005,90,436527104,52,56036.19662037,5,54,20.0335,0.0213,20.0145,0.0305,16892216,19.3839,0.0126,19.4245,0.017,115000,18.9717,0.0114,19.0286,0.0074,115000,18.701,0.0548,18.6536,0.0716,16892216,18.5585,0.0148,18.6277,0.0467,115000
117,156370098832389588,0.8554583,0.114563,9.8831,40.316,FUVCaF2,FUVSapphire,9.8831,40.316,21.221,18.82,0.103,15,9.8831,40.316,21.5,19.379,0.108,15,0.17,156370098832389588,9.88313889,40.31598845,0.042,0.021,0,436527104,52,56041.7778125,4,29,20.8903,0.0314,20.9711,0.0851,115000,21.0531,0.0352,21.0228,0.0528,115000,21.2039,0.0323,21.5827,0.0193,115000,21.1616,0.1533,,,115000,,,,,16416
118,156370098818988333,0.7924375,0.390455,9.8818,40.3148,FUVCaF2,FUVSapphire,9.8818,40.3148,21.886,19.485,0.143,15,9.8818,40.3147,21.594,19.473,0.109,15,0.07,156370098818988333,9.88189269,40.31471773,0.045,0.021,0,436527104,52,56019.11030093,4,24,20.8624,0.0178,20.883,0.0334,115000,21.2295,0.0451,21.4049,0.0952,115000,21.4817,0.0442,21.9478,0.2906,115000,20.8757,0.2068,,,115000,,,,,16416
119,156220100179386826,0.99833333,0.473556,10.0178,40.1883,FUVCaF2,FUVSapphire,10.0178,40.1883,22.35,19.949,0.165,19,10.0179,40.1883,22.439,20.318,0.11,"15, 19",0.26,156220100179386826,10.01790854,40.18840212,0.011,0.005,90,503635968,60,55939.44596065,5,77,14.3775,0.0023,14.4203,0.0018,115000,14.0555,0.0011,14.1033,0.0036,115000,13.9429,0.0035,13.9961,0.0024,115000,13.9376,0.0072,13.9818,0.0029,115000,13.9014,0.0051,13.9258,0.0039,115000
120,156250098159743659,0.8673155,0.318739,9.816,40.2109,FUVCaF2,FUVSapphire,9.816,40.2109,22.508,20.107,0.178,15,9.8159,40.2108,23.415,21.294,0.257,15,0.27,156250098159743659,9.81599186,40.21081168,0.207,0.08,0,436527104,52,55802.02601852,2,19,21.6198,0.0933,21.5174,0.1214,115000,21.7011,0.0726,21.7387,0.0794,115000,,,,,16416,,,,,16416,,,,,16416
123,156110100931279934,0.99916667,0.349193,10.0931,40.0993,FUVCaF2,FUVSapphire,10.0931,40.0993,22.581,20.18,0.194,19,10.0931,40.0993,22.202,20.081,0.142,19,0.05,156110100931279934,10.09309837,40.09939699,0.018,0.01,0,436527104,52,55923.70383102,5,57,20.0854,0.0123,20.1871,0.0291,115000,20.2863,0.0155,20.5073,0.0319,115000,20.5064,0.0291,20.6926,0.0354,115000,20.6052,0.063,20.8929,0.0744,115000,19.7504,0.1785,19.9112,0.3169,115000
125,156120100381959638,0.9415417,0.528558,10.0381,40.1074,FUVCaF2,FUVSapphire,10.0381,40.1074,21.824,19.423,0.135,19,10.038,40.1075,21.621,19.5,0.108,19,0.37,156120100381959638,10.0381064,40.10754674,0.099,0.06,0,436527104,52,55817.08350694,7,14,21.774,0.0406,21.8771,0.2062,115000,22.0656,0.0573,22.2725,0.0852,115000,,,,,114720,,,,,114720,,,,,16416
126,156390098928848956,0.8209583,0.455281,9.8928,40.3319,FUVCaF2,FUVSapphire,9.8928,40.3319,21.366,18.965,0.116,15,9.8929,40.3319,21.505,19.384,0.11,15,0.07,156390098928848956,9.89288647,40.33200793,0.051,0.05,0,444915712,53,56013.81986111,4,22,19.6772,0.0212,19.7734,0.0286,115000,19.919,0.021,19.7529,0.004,16892216,20.1055,0.0408,,,16892216,20.2025,0.0869,20.3414,0.227,115000,,,,,16416
127,156390098886025330,0.89241666,0.047071,9.8887,40.3288,FUVCaF2,FUVSapphire,9.8887,40.3288,20.454,18.053,0.077,15,9.8887,40.3288,20.775,18.654,0.08,15,0.08,156390098886025330,9.88871679,40.32879733,0.033,0.019,0,436527104,52,56051.49664352,5,50,19.4666,0.0202,19.2992,0.0212,16892216,19.6732,0.0145,19.6359,0.0355,115000,19.8705,0.0194,19.8402,0.0366,115000,20.1023,0.0314,20.1792,0.0808,115000,20.1712,0.0958,20.2051,0.109,115000
