objid,raStack,decStack,gPSFMag,gPSFMagErr,rPSFMag,rPSFMagErr,iPSFMag,iPSFMagErr,zPSFMag,zPSFMagErr,yPSFMag,yPSFMagErr,ps_score
122291328983507948,132.89836029,11.91455072,20.3840999603271,0.0134840002283454,19.9838008880615,0.00868599954992533,19.9584999084473,0.0135840000584722,19.9361000061035,0.0214610006660223,19.842399597168,0.0450359992682934,0.958708345890045
122291329000362540,132.90008159,11.91005266,23.2012996673584,0.151209995150566,21.7198009490967,0.0380989983677864,21.0699005126953,0.0350180007517338,20.6884994506836,0.0384339988231659,20.3386993408203,0.0651279985904694,0.922648787498474
122291329009202146,132.90092813,11.90970859,20.827299118042,0.0191799998283386,19.5937995910645,0.0064460001885891,18.5699005126953,0.00468399981036782,18.0718002319336,0.00442099990323186,17.8194007873535,0.0078090000897646,0.94841068983078
122291329042697144,132.90427118,11.91387489,15.7819995880127,0.000806999974884093,15.203200340271,0.000475000008009374,15.0792999267578,0.000669999979436398,15.0605001449585,0.000770999991800636,14.9128999710083,0.00115300004836172,0.993749976158142
122291329128744073,132.9127696,11.91142113,23.3992004394531,0.185703992843628,22.5345001220703,0.076555997133255,22.2884006500244,0.0882589966058731,22.568000793457,0.261090010404587,21.5284996032715,0.206880003213882,0.0109999999403954
122291329162760760,132.91628405,11.90853028,23.4923992156982,0.179924994707108,22.3311004638672,0.0598820000886917,22.0464000701904,0.0665080025792122,22.0795993804932,0.126605004072189,21.4701995849609,0.186017006635666,0.0205416698008776
122291329281483733,132.92814459,11.91103535,18.1028995513916,0.00302299996837974,16.8999996185303,0.00104999996256083,16.4174003601074,0.00112200004514307,16.2644004821777,0.00147999997716397,16.1319999694824,0.00294500007294118,0.995000004768372
122291329370051157,132.93692603,11.90869053,23.8843002319336,0.35708099603653,22.9290008544922,0.112120002508163,21.8432006835938,0.0732069984078407,21.4717998504639,0.0984639972448349,21.6168003082275,0.223352998495102,0.0087500000372529
122291329392535254,132.93924862,11.91233132,23.0326995849609,0.120310001075268,21.5527992248535,0.0312239993363619,20.0767002105713,0.0136630004271865,19.4002990722656,0.0138729996979237,19.2341003417969,0.0346620008349419,0.996666669845581
122291329394052266,132.93940283,11.90981565,19.5242004394531,0.00729200011119246,18.1692008972168,0.00231299991719425,17.1264991760254,0.00171400001272559,16.7007007598877,0.00200200011022389,16.4381008148193,0.00360900000669062,0.996666669845581
122291329430024958,132.94301431,11.91205735,21.8391990661621,0.0484049990773201,20.4029998779297,0.0126660000532866,19.3253002166748,0.00776300020515919,18.9519996643066,0.0117880003526807,18.5921001434326,0.0226070005446672,0.998333334922791
122291329510238960,132.9510029,11.91541014,22.1599006652832,0.0664099976420403,21.1028003692627,0.0220899991691113,20.8297004699707,0.0302629992365837,20.5582008361816,0.0387489981949329,20.1158008575439,0.0639740005135536,0
122291329544794193,132.95450206,11.91140211,22.8588008880615,0.108984000980854,21.6418991088867,0.0418759994208813,21.3472003936768,0.0522760003805161,21.1509990692139,0.0690149962902069,20.9101009368896,0.157134994864464,0.0170535705983639
122291329560298195,132.95603506,11.91475297,17.7618999481201,0.00251200003549457,17.3066005706787,0.0014519999967888,17.2194995880127,0.00205700006335974,17.1235008239746,0.00305299996398389,17.1308994293213,0.00560500007122755,0.996934533119202
122301327052550237,132.70530176,11.91650545,21.2723999023438,0.0263020005077124,20.6242008209229,0.0144760003313422,20.2772006988525,0.0151650002226233,20.1462993621826,0.0228840000927448,19.9050006866455,0.0444430001080036,0.135202378034592
122301327152161979,132.71521191,11.91790978,17.9719009399414,0.00250399997457862,16.940299987793,0.00115599995478988,16.4787006378174,0.0010550000006333,16.2968997955322,0.00173500005621463,16.1490001678467,0.00272200000472367,0.998749971389771
122301327262515587,132.72624695,11.92091723,15.3836002349854,0.00055699999211356,14.8407001495361,0.000375000003259629,14.5913000106812,0.000392999994801357,14.4596004486084,0.000567000010050833,14.4024000167847,0.000974999973550439,0.996916651725769
122301327401175383,132.74008504,11.92075635,13.8510999679565,0.000383000005967915,13.3872003555298,0.000241000001551583,13.2295999526978,0.00040600000647828,13.229100227356,0.00056600000243634,13.1270999908447,0.000480999995488673,0.964845240116119
122301327454674982,132.74546695,11.92046324,24.1895008087158,0.362863004207611,22.921199798584,0.0978270024061203,21.8218994140625,0.0567659996449947,21.0410995483398,0.0786689966917038,21.4102001190186,0.238600000739098,0.771348237991333
122301327507539788,132.75073879,11.92450524,22.5419998168945,0.0822170004248619,21.1256999969482,0.0221180003136396,20.1359996795654,0.015845000743866,19.6648006439209,0.0195049997419119,19.5816993713379,0.0456079989671707,0.958916664123535
122301327513075780,132.75130855,11.92109877,21.710599899292,0.0412609986960888,20.4734001159668,0.0120090004056692,19.103099822998,0.00592500017955899,18.4570999145508,0.00770899979397655,18.2621994018555,0.0135399997234344,0.984708309173584
122301327602767894,132.76027036,11.92283936,16.1116008758545,0.000952999980654567,15.4953002929688,0.000484999996842816,15.2999000549316,0.000758000009227544,15.1698999404907,0.000929999980144203,15.1108999252319,0.00160299998242408,0.997500002384186
122301327659982969,132.76603003,11.91874105,25.8388004302979,1.58683001995087,24.326099395752,0.397008985280991,21.6427001953125,0.0561669990420341,20.8264999389648,0.0496920011937618,20.4594993591309,0.0987880006432533,0.476875007152557
122301327716936658,132.77169323,11.92179036,20.7437992095947,0.016669999808073,19.6574001312256,0.00665199989452958,19.0923004150391,0.00781899970024824,18.9200992584229,0.0107169998809695,18.778600692749,0.0210640002042055,0.969821453094482
122301327784916698,132.77849535,11.92181182,22.8253002166748,0.110757999122143,21.7446994781494,0.0397869981825352,21.6564998626709,0.0888829976320267,21.5109996795654,0.10674499720335,21.5650997161865,0.249788999557495,0.197357147932053
122301327871940641,132.78719976,11.91677507,21.6608009338379,0.0359509997069836,20.4153995513916,0.0120479995384812,19.275899887085,0.008992999792099,18.8052997589111,0.0091770002618432,18.512300491333,0.0156299993395805,0.989583313465118
122301327900499444,132.79019632,11.92415853,22.4200992584229,0.0726820006966591,21.8397998809814,0.0495910011231899,21.7693996429443,0.0717860013246536,21.4698009490967,0.0854849964380264,21.2775993347168,0.191616997122765,0.0353333316743374
122301328031681135,132.80315655,11.91717198,22.9955997467041,0.10827100276947,21.6128997802734,0.0306599996984005,19.7807998657227,0.0120360003784299,19.0666007995605,0.0115780001506209,18.6110000610352,0.0192409995943308,0.998749971389771
