 X-Field	 Y-Field	Sigma	e1	e2	EPS
-0.1048	-0.0242	6.958000	-0.002590	-0.000378	0.002617
-0.0887	-0.0242	6.962000	-0.003017	-0.000384	0.003041
-0.0726	-0.0242	6.965000	-0.003395	-0.000362	0.003414
-0.0565	-0.0242	6.968000	-0.003711	-0.000313	0.003725
-0.0403	-0.0242	6.970000	-0.003957	-0.000241	0.003965
-0.0242	-0.0242	6.972000	-0.004125	-0.000152	0.004128
-0.0081	-0.0242	6.973000	-0.004210	-0.000052	0.004210
0.0081	-0.0242	6.973000	-0.004210	0.000052	0.004210
0.0242	-0.0242	6.972000	-0.004125	0.000152	0.004128
0.0403	-0.0242	6.970000	-0.003957	0.000241	0.003965
0.0565	-0.0242	6.968000	-0.003711	0.000313	0.003725
0.0726	-0.0242	6.965000	-0.003395	0.000362	0.003414
0.0887	-0.0242	6.962000	-0.003017	0.000384	0.003041
0.1048	-0.0242	6.958000	-0.002590	0.000378	0.002617
0.1210	-0.0242	6.953000	-0.002127	0.000346	0.002155
0.1371	-0.0242	6.949000	-0.001646	0.000292	0.001672
0.1532	-0.0242	6.944000	-0.001178	0.000225	0.001199
0.1694	-0.0242	6.940000	-0.000721	0.000159	0.000739
0.1855	-0.0242	6.937000	-0.000311	0.000112	0.000330
0.2016	-0.0242	6.934000	0.000023	0.000109	0.000111
0.2177	-0.0242	6.932000	0.000271	0.000183	0.000327
0.2339	-0.0242	6.932000	0.000394	0.000373	0.000542
0.2500	-0.0242	6.935000	0.000363	0.000727	0.000813
-0.2500	-0.0081	6.937000	0.000370	-0.000747	0.000834
-0.2339	-0.0081	6.934000	0.000474	-0.000374	0.000603
-0.2177	-0.0081	6.933000	0.000438	-0.000160	0.000466
-0.2016	-0.0081	6.934000	0.000287	-0.000063	0.000294
-0.1855	-0.0081	6.936000	0.000055	-0.000042	0.000069
-0.1694	-0.0081	6.939000	-0.000245	-0.000069	0.000255
-0.1532	-0.0081	6.942000	-0.000593	-0.000120	0.000605
-0.1371	-0.0081	6.946000	-0.000956	-0.000177	0.000972
-0.1210	-0.0081	6.950000	-0.001336	-0.000226	0.001355
-0.1048	-0.0081	6.953000	-0.001706	-0.000260	0.001725
-0.0887	-0.0081	6.957000	-0.002050	-0.000272	0.002068
-0.0726	-0.0081	6.960000	-0.002355	-0.000263	0.002370
-0.0565	-0.0081	6.962000	-0.002613	-0.000231	0.002623
-0.0403	-0.0081	6.964000	-0.002813	-0.000180	0.002819
-0.0242	-0.0081	6.966000	-0.002950	-0.000114	0.002952
-0.0081	-0.0081	6.966000	-0.003019	-0.000039	0.003020
0.0081	-0.0081	6.966000	-0.003019	0.000039	0.003020
0.0242	-0.0081	6.966000	-0.002950	0.000114	0.002952
0.0403	-0.0081	6.964000	-0.002813	0.000180	0.002819
0.0565	-0.0081	6.962000	-0.002613	0.000231	0.002623
0.0726	-0.0081	6.960000	-0.002355	0.000263	0.002370
0.0887	-0.0081	6.957000	-0.002050	0.000272	0.002068
0.1048	-0.0081	6.953000	-0.001706	0.000260	0.001725
0.1210	-0.0081	6.950000	-0.001336	0.000226	0.001355
0.1371	-0.0081	6.946000	-0.000956	0.000177	0.000972
0.1532	-0.0081	6.942000	-0.000593	0.000120	0.000605
0.1694	-0.0081	6.939000	-0.000245	0.000069	0.000255
0.1855	-0.0081	6.936000	0.000055	0.000042	0.000069
0.2016	-0.0081	6.934000	0.000287	0.000063	0.000294
0.2177	-0.0081	6.933000	0.000438	0.000160	0.000466
0.2339	-0.0081	6.934000	0.000474	0.000374	0.000603
0.2500	-0.0081	6.937000	0.000370	0.000747	0.000834
-0.2500	0.0081	6.938000	0.000295	-0.000765	0.000819
-0.2339	0.0081	6.935000	0.000465	-0.000374	0.000597
-0.2177	0.0081	6.934000	0.000510	-0.000140	0.000529
-0.2016	0.0081	6.934000	0.000449	-0.000020	0.000450
-0.1855	0.0081	6.935000	0.000314	0.000022	0.000314
-0.1694	0.0081	6.937000	0.000114	0.000013	0.000115
-0.1532	0.0081	6.940000	-0.000134	-0.000023	0.000136
-0.1371	0.0081	6.943000	-0.000399	-0.000070	0.000405
-0.1210	0.0081	6.946000	-0.000686	-0.000115	0.000696
-0.1048	0.0081	6.949000	-0.000970	-0.000149	0.000981
-0.0887	0.0081	6.952000	-0.001236	-0.000169	0.001248
-0.0726	0.0081	6.955000	-0.001475	-0.000170	0.001485
-0.0565	0.0081	6.957000	-0.001677	-0.000154	0.001684
-0.0403	0.0081	6.958000	-0.001835	-0.000122	0.001839
-0.0242	0.0081	6.959000	-0.001944	-0.000078	0.001945
-0.0081	0.0081	6.960000	-0.001999	-0.000027	0.001999
0.0081	0.0081	6.960000	-0.001999	0.000027	0.001999
0.0242	0.0081	6.959000	-0.001944	0.000078	0.001945
0.0403	0.0081	6.958000	-0.001835	0.000122	0.001839
0.0565	0.0081	6.957000	-0.001677	0.000154	0.001684
0.0726	0.0081	6.955000	-0.001475	0.000170	0.001485
0.0887	0.0081	6.952000	-0.001236	0.000169	0.001248
0.1048	0.0081	6.949000	-0.000970	0.000149	0.000981
0.1210	0.0081	6.946000	-0.000686	0.000115	0.000696
0.1371	0.0081	6.943000	-0.000399	0.000070	0.000405
0.1532	0.0081	6.940000	-0.000134	0.000023	0.000136
0.1694	0.0081	6.937000	0.000114	-0.000013	0.000115
0.1855	0.0081	6.935000	0.000314	-0.000022	0.000314
0.2016	0.0081	6.934000	0.000449	0.000020	0.000450
0.2177	0.0081	6.934000	0.000510	0.000140	0.000529
0.2339	0.0081	6.935000	0.000465	0.000374	0.000597
0.2500	0.0081	6.938000	0.000295	0.000765	0.000819
-0.2500	0.0242	6.940000	0.000142	-0.000779	0.000792
-0.2339	0.0242	6.936000	0.000369	-0.000374	0.000525
-0.2177	0.0242	6.934000	0.000488	-0.000122	0.000503
-0.2016	0.0242	6.934000	0.000511	0.000018	0.000512
-0.1855	0.0242	6.935000	0.000465	0.000080	0.000471
-0.1694	0.0242	6.936000	0.000354	0.000088	0.000365
-0.1532	0.0242	6.938000	0.000201	0.000065	0.000212
-0.1371	0.0242	6.940000	0.000027	0.000027	0.000038
-0.1210	0.0242	6.943000	-0.000175	-0.000013	0.000176
-0.1048	0.0242	6.945000	-0.000380	-0.000049	0.000383
-0.0887	0.0242	6.948000	-0.000576	-0.000074	0.000580
-0.0726	0.0242	6.950000	-0.000753	-0.000085	0.000758
-0.0565	0.0242	6.951000	-0.000905	-0.000084	0.000909
-0.0403	0.0242	6.953000	-0.001024	-0.000070	0.001026
-0.0242	0.0242	6.954000	-0.001106	-0.000046	0.001107
-0.0081	0.0242	6.954000	-0.001157	-0.000016	0.001157
0.0081	0.0242	6.954000	-0.001157	0.000016	0.001157
0.0242	0.0242	6.954000	-0.001106	0.000046	0.001107
0.0403	0.0242	6.953000	-0.001024	0.000070	0.001026
0.0565	0.0242	6.951000	-0.000905	0.000084	0.000909
0.0726	0.0242	6.950000	-0.000753	0.000085	0.000758
0.0887	0.0242	6.948000	-0.000576	0.000074	0.000580
0.1048	0.0242	6.945000	-0.000380	0.000049	0.000383
0.1210	0.0242	6.943000	-0.000175	0.000013	0.000176
0.1371	0.0242	6.940000	0.000027	-0.000027	0.000038
0.1532	0.0242	6.938000	0.000201	-0.000065	0.000212
0.1694	0.0242	6.936000	0.000354	-0.000088	0.000365
0.1855	0.0242	6.935000	0.000465	-0.000080	0.000471
0.2016	0.0242	6.934000	0.000511	-0.000018	0.000512
0.2177	0.0242	6.934000	0.000488	0.000122	0.000503
0.2339	0.0242	6.936000	0.000369	0.000374	0.000525
0.2500	0.0242	6.940000	0.000142	0.000779	0.000792
-0.2500	0.0403	6.941000	-0.000122	-0.000787	0.000797
-0.2339	0.0403	6.937000	0.000166	-0.000373	0.000408
-0.2177	0.0403	6.935000	0.000350	-0.000106	0.000366
-0.2016	0.0403	6.934000	0.000439	0.000051	0.000442
-0.1855	0.0403	6.934000	0.000471	0.000128	0.000488
-0.1694	0.0403	6.935000	0.000442	0.000152	0.000467
-0.1532	0.0403	6.936000	0.000371	0.000141	0.000397
-0.1371	0.0403	6.938000	0.000277	0.000112	0.000299
-0.1210	0.0403	6.939000	0.000151	0.000075	0.000169
-0.1048	0.0403	6.941000	0.000015	0.000040	0.000042
-0.0887	0.0403	6.943000	-0.000117	0.000010	0.000117
-0.0726	0.0403	6.945000	-0.000239	-0.000011	0.000240
-0.0565	0.0403	6.946000	-0.000346	-0.000021	0.000346
-0.0403	0.0403	6.947000	-0.000430	-0.000023	0.000431
-0.0242	0.0403	6.948000	-0.000489	-0.000017	0.000489
-0.0081	0.0403	6.949000	-0.000519	-0.000006	0.000519
0.0081	0.0403	6.949000	-0.000519	0.000006	0.000519
0.0242	0.0403	6.948000	-0.000489	0.000017	0.000489
0.0403	0.0403	6.947000	-0.000430	0.000023	0.000431
0.0565	0.0403	6.946000	-0.000346	0.000021	0.000346
0.0726	0.0403	6.945000	-0.000239	0.000011	0.000240
0.0887	0.0403	6.943000	-0.000117	-0.000010	0.000117
0.1048	0.0403	6.941000	0.000015	-0.000040	0.000042
0.1210	0.0403	6.939000	0.000151	-0.000075	0.000169
0.1371	0.0403	6.938000	0.000277	-0.000112	0.000299
0.1532	0.0403	6.936000	0.000371	-0.000141	0.000397
0.1694	0.0403	6.935000	0.000442	-0.000152	0.000467
0.1855	0.0403	6.934000	0.000471	-0.000128	0.000488
0.2016	0.0403	6.934000	0.000439	-0.000051	0.000442
0.2177	0.0403	6.935000	0.000350	0.000106	0.000366
0.2339	0.0403	6.937000	0.000166	0.000373	0.000408
0.2500	0.0403	6.941000	-0.000122	0.000787	0.000797
-0.2500	0.0565	6.942000	-0.000485	-0.000787	0.000924
-0.2339	0.0565	6.938000	-0.000153	-0.000369	0.000399
-0.2177	0.0565	6.935000	0.000088	-0.000092	0.000128
-0.2016	0.0565	6.933000	0.000248	0.000077	0.000260
-0.1855	0.0565	6.933000	0.000349	0.000169	0.000388
-0.1694	0.0565	6.933000	0.000384	0.000205	0.000435
-0.1532	0.0565	6.934000	0.000382	0.000205	0.000434
-0.1371	0.0565	6.935000	0.000361	0.000183	0.000405
-0.1210	0.0565	6.936000	0.000303	0.000151	0.000339
-0.1048	0.0565	6.938000	0.000232	0.000115	0.000259
-0.0887	0.0565	6.939000	0.000156	0.000082	0.000177
-0.0726	0.0565	6.940000	0.000083	0.000054	0.000099
-0.0565	0.0565	6.941000	0.000017	0.000032	0.000036
-0.0403	0.0565	6.942000	-0.000037	0.000017	0.000041
-0.0242	0.0565	6.943000	-0.000074	0.000008	0.000075
-0.0081	0.0565	6.943000	-0.000094	0.000002	0.000094
0.0081	0.0565	6.943000	-0.000094	-0.000002	0.000094
0.0242	0.0565	6.943000	-0.000074	-0.000008	0.000075
0.0403	0.0565	6.942000	-0.000037	-0.000017	0.000041
0.0565	0.0565	6.941000	0.000017	-0.000032	0.000036
0.0726	0.0565	6.940000	0.000083	-0.000054	0.000099
0.0887	0.0565	6.939000	0.000156	-0.000082	0.000177
0.1048	0.0565	6.938000	0.000232	-0.000115	0.000259
0.1210	0.0565	6.936000	0.000303	-0.000151	0.000339
0.1371	0.0565	6.935000	0.000361	-0.000183	0.000405
0.1532	0.0565	6.934000	0.000382	-0.000205	0.000434
0.1694	0.0565	6.933000	0.000384	-0.000205	0.000435
0.1855	0.0565	6.933000	0.000349	-0.000169	0.000388
0.2016	0.0565	6.933000	0.000248	-0.000077	0.000260
0.2177	0.0565	6.935000	0.000088	0.000092	0.000128
0.2339	0.0565	6.938000	-0.000153	0.000369	0.000399
0.2500	0.0565	6.942000	-0.000485	0.000787	0.000924
-0.2500	0.0726	6.943000	-0.000939	-0.000775	0.001217
-0.2339	0.0726	6.938000	-0.000567	-0.000358	0.000670
-0.2177	0.0726	6.935000	-0.000279	-0.000077	0.000289
-0.2016	0.0726	6.933000	-0.000063	0.000101	0.000119
-0.1855	0.0726	6.932000	0.000097	0.000202	0.000224
-0.1694	0.0726	6.931000	0.000198	0.000248	0.000318
-0.1532	0.0726	6.932000	0.000260	0.000257	0.000366
-0.1371	0.0726	6.932000	0.000296	0.000242	0.000382
-0.1210	0.0726	6.933000	0.000284	0.000212	0.000354
-0.1048	0.0726	6.934000	0.000267	0.000177	0.000321
-0.0887	0.0726	6.935000	0.000240	0.000141	0.000279
-0.0726	0.0726	6.936000	0.000209	0.000107	0.000235
-0.0565	0.0726	6.937000	0.000178	0.000077	0.000194
-0.0403	0.0726	6.938000	0.000152	0.000051	0.000160
-0.0242	0.0726	6.938000	0.000133	0.000029	0.000136
-0.0081	0.0726	6.938000	0.000122	0.000009	0.000123
0.0081	0.0726	6.938000	0.000122	-0.000009	0.000123
0.0242	0.0726	6.938000	0.000133	-0.000029	0.000136
0.0403	0.0726	6.938000	0.000152	-0.000051	0.000160
0.0565	0.0726	6.937000	0.000178	-0.000077	0.000194
0.0726	0.0726	6.936000	0.000209	-0.000107	0.000235
0.0887	0.0726	6.935000	0.000240	-0.000141	0.000279
0.1048	0.0726	6.934000	0.000267	-0.000177	0.000321
0.1210	0.0726	6.933000	0.000284	-0.000212	0.000354
0.1371	0.0726	6.932000	0.000296	-0.000242	0.000382
0.1532	0.0726	6.932000	0.000260	-0.000257	0.000366
0.1694	0.0726	6.931000	0.000198	-0.000248	0.000318
0.1855	0.0726	6.932000	0.000097	-0.000202	0.000224
0.2016	0.0726	6.933000	-0.000063	-0.000101	0.000119
0.2177	0.0726	6.935000	-0.000279	0.000077	0.000289
0.2339	0.0726	6.938000	-0.000567	0.000358	0.000670
0.2500	0.0726	6.943000	-0.000939	0.000775	0.001217
-0.2500	0.0887	6.943000	-0.001495	-0.000747	0.001671
-0.2339	0.0887	6.938000	-0.001084	-0.000339	0.001136
-0.2177	0.0887	6.934000	-0.000757	-0.000059	0.000759
-0.2016	0.0887	6.932000	-0.000497	0.000122	0.000512
-0.1855	0.0887	6.930000	-0.000286	0.000229	0.000366
-0.1694	0.0887	6.930000	-0.000133	0.000283	0.000312
-0.1532	0.0887	6.929000	-0.000018	0.000298	0.000298
-0.1371	0.0887	6.930000	0.000063	0.000287	0.000294
-0.1210	0.0887	6.930000	0.000130	0.000261	0.000292
-0.1048	0.0887	6.931000	0.000160	0.000227	0.000277
-0.0887	0.0887	6.931000	0.000176	0.000188	0.000257
-0.0726	0.0887	6.932000	0.000173	0.000150	0.000229
-0.0565	0.0887	6.933000	0.000173	0.000113	0.000207
-0.0403	0.0887	6.933000	0.000170	0.000078	0.000187
-0.0242	0.0887	6.933000	0.000166	0.000046	0.000173
-0.0081	0.0887	6.934000	0.000164	0.000015	0.000165
0.0081	0.0887	6.934000	0.000164	-0.000015	0.000165
0.0242	0.0887	6.933000	0.000166	-0.000046	0.000173
0.0403	0.0887	6.933000	0.000170	-0.000078	0.000187
0.0565	0.0887	6.933000	0.000173	-0.000113	0.000207
0.0726	0.0887	6.932000	0.000173	-0.000150	0.000229
0.0887	0.0887	6.931000	0.000176	-0.000188	0.000257
0.1048	0.0887	6.931000	0.000160	-0.000227	0.000277
0.1210	0.0887	6.930000	0.000130	-0.000261	0.000292
0.1371	0.0887	6.930000	0.000063	-0.000287	0.000294
0.1532	0.0887	6.929000	-0.000018	-0.000298	0.000298
0.1694	0.0887	6.930000	-0.000133	-0.000283	0.000312
0.1855	0.0887	6.930000	-0.000286	-0.000229	0.000366
0.2016	0.0887	6.932000	-0.000497	-0.000122	0.000512
0.2177	0.0887	6.934000	-0.000757	0.000059	0.000759
0.2339	0.0887	6.938000	-0.001084	0.000339	0.001136
0.2500	0.0887	6.943000	-0.001495	0.000747	0.001671
-0.2500	0.1048	6.944000	-0.002143	-0.000700	0.002254
-0.2339	0.1048	6.938000	-0.001700	-0.000308	0.001728
-0.2177	0.1048	6.934000	-0.001342	-0.000036	0.001342
-0.2016	0.1048	6.931000	-0.001044	0.000144	0.001054
-0.1855	0.1048	6.929000	-0.000793	0.000253	0.000833
-0.1694	0.1048	6.928000	-0.000596	0.000309	0.000671
-0.1532	0.1048	6.927000	-0.000436	0.000328	0.000546
-0.1371	0.1048	6.927000	-0.000312	0.000321	0.000448
-0.1210	0.1048	6.927000	-0.000206	0.000297	0.000362
-0.1048	0.1048	6.927000	-0.000133	0.000263	0.000295
-0.0887	0.1048	6.928000	-0.000082	0.000224	0.000238
-0.0726	0.1048	6.928000	-0.000046	0.000182	0.000188
-0.0565	0.1048	6.928000	-0.000021	0.000140	0.000142
-0.0403	0.1048	6.929000	-0.000005	0.000099	0.000099
-0.0242	0.1048	6.929000	0.000005	0.000059	0.000059
-0.0081	0.1048	6.929000	0.000010	0.000019	0.000022
0.0081	0.1048	6.929000	0.000010	-0.000019	0.000022
0.0242	0.1048	6.929000	0.000005	-0.000059	0.000059
0.0403	0.1048	6.929000	-0.000005	-0.000099	0.000099
0.0565	0.1048	6.928000	-0.000021	-0.000140	0.000142
0.0726	0.1048	6.928000	-0.000046	-0.000182	0.000188
0.0887	0.1048	6.928000	-0.000082	-0.000224	0.000238
0.1048	0.1048	6.927000	-0.000133	-0.000263	0.000295
0.1210	0.1048	6.927000	-0.000206	-0.000297	0.000362
0.1371	0.1048	6.927000	-0.000312	-0.000321	0.000448
0.1532	0.1048	6.927000	-0.000436	-0.000328	0.000546
0.1694	0.1048	6.928000	-0.000596	-0.000309	0.000671
0.1855	0.1048	6.929000	-0.000793	-0.000253	0.000833
0.2016	0.1048	6.931000	-0.001044	-0.000144	0.001054
0.2177	0.1048	6.934000	-0.001342	0.000036	0.001342
0.2339	0.1048	6.938000	-0.001700	0.000308	0.001728
0.2500	0.1048	6.944000	-0.002143	0.000700	0.002254
-0.2500	0.1210	6.944000	-0.002868	-0.000629	0.002936
-0.2339	0.1210	6.938000	-0.002402	-0.000262	0.002416
-0.2177	0.1210	6.933000	-0.002019	-0.000003	0.002019
-0.2016	0.1210	6.930000	-0.001692	0.000168	0.001701
-0.1855	0.1210	6.928000	-0.001409	0.000274	0.001436
-0.1694	0.1210	6.926000	-0.001178	0.000330	0.001223
-0.1532	0.1210	6.925000	-0.000981	0.000350	0.001042
-0.1371	0.1210	6.925000	-0.000821	0.000345	0.000890
-0.1210	0.1210	6.924000	-0.000681	0.000322	0.000753
-0.1048	0.1210	6.924000	-0.000579	0.000288	0.000647
-0.0887	0.1210	6.924000	-0.000496	0.000248	0.000554
-0.0726	0.1210	6.924000	-0.000434	0.000204	0.000480
-0.0565	0.1210	6.925000	-0.000388	0.000159	0.000420
-0.0403	0.1210	6.925000	-0.000356	0.000113	0.000373
-0.0242	0.1210	6.925000	-0.000335	0.000068	0.000342
-0.0081	0.1210	6.925000	-0.000325	0.000022	0.000326
0.0081	0.1210	6.925000	-0.000325	-0.000022	0.000326
0.0242	0.1210	6.925000	-0.000335	-0.000068	0.000342
0.0403	0.1210	6.925000	-0.000356	-0.000113	0.000373
0.0565	0.1210	6.925000	-0.000388	-0.000159	0.000420
0.0726	0.1210	6.924000	-0.000434	-0.000204	0.000480
0.0887	0.1210	6.924000	-0.000496	-0.000248	0.000554
0.1048	0.1210	6.924000	-0.000579	-0.000288	0.000647
0.1210	0.1210	6.924000	-0.000681	-0.000322	0.000753
0.1371	0.1210	6.925000	-0.000821	-0.000345	0.000890
0.1532	0.1210	6.925000	-0.000981	-0.000350	0.001042
0.1694	0.1210	6.926000	-0.001178	-0.000330	0.001223
0.1855	0.1210	6.928000	-0.001409	-0.000274	0.001436
0.2016	0.1210	6.930000	-0.001692	-0.000168	0.001701
0.2177	0.1210	6.933000	-0.002019	0.000003	0.002019
0.2339	0.1210	6.938000	-0.002402	0.000262	0.002416
0.2500	0.1210	6.944000	-0.002868	0.000629	0.002936
-0.2500	0.1371	6.943000	-0.003616	-0.000536	0.003656
-0.2339	0.1371	6.937000	-0.003133	-0.000199	0.003139
-0.2177	0.1371	6.933000	-0.002730	0.000039	0.002730
-0.2016	0.1371	6.929000	-0.002377	0.000197	0.002385
-0.1855	0.1371	6.926000	-0.002064	0.000295	0.002085
-0.1694	0.1371	6.925000	-0.001832	0.000347	0.001864
-0.1532	0.1371	6.923000	-0.001607	0.000365	0.001648
-0.1371	0.1371	6.922000	-0.001417	0.000359	0.001462
-0.1210	0.1371	6.922000	-0.001247	0.000337	0.001292
-0.1048	0.1371	6.921000	-0.001120	0.000303	0.001161
-0.0887	0.1371	6.921000	-0.001017	0.000262	0.001050
-0.0726	0.1371	6.921000	-0.000931	0.000217	0.000956
-0.0565	0.1371	6.921000	-0.000870	0.000170	0.000886
-0.0403	0.1371	6.921000	-0.000824	0.000121	0.000833
-0.0242	0.1371	6.921000	-0.000794	0.000073	0.000797
-0.0081	0.1371	6.921000	-0.000780	0.000024	0.000780
0.0081	0.1371	6.921000	-0.000780	-0.000024	0.000780
0.0242	0.1371	6.921000	-0.000794	-0.000073	0.000797
0.0403	0.1371	6.921000	-0.000824	-0.000121	0.000833
0.0565	0.1371	6.921000	-0.000870	-0.000170	0.000886
0.0726	0.1371	6.921000	-0.000931	-0.000217	0.000956
0.0887	0.1371	6.921000	-0.001017	-0.000262	0.001050
0.1048	0.1371	6.921000	-0.001120	-0.000303	0.001161
0.1210	0.1371	6.922000	-0.001247	-0.000337	0.001292
0.1371	0.1371	6.922000	-0.001417	-0.000359	0.001462
0.1532	0.1371	6.923000	-0.001607	-0.000365	0.001648
0.1694	0.1371	6.925000	-0.001832	-0.000347	0.001864
0.1855	0.1371	6.926000	-0.002064	-0.000295	0.002085
0.2016	0.1371	6.929000	-0.002377	-0.000197	0.002385
0.2177	0.1371	6.933000	-0.002730	-0.000039	0.002730
0.2339	0.1371	6.937000	-0.003133	0.000199	0.003139
0.2500	0.1371	6.943000	-0.003616	0.000536	0.003656
-0.2500	0.1532	6.943000	-0.004445	-0.000411	0.004464
-0.2339	0.1532	6.937000	-0.003950	-0.000113	0.003951
-0.2177	0.1532	6.932000	-0.003539	0.000097	0.003540
-0.2016	0.1532	6.928000	-0.003167	0.000235	0.003176
-0.1855	0.1532	6.925000	-0.002840	0.000319	0.002858
-0.1694	0.1532	6.923000	-0.002551	0.000362	0.002577
-0.1532	0.1532	6.921000	-0.002302	0.000375	0.002332
-0.1371	0.1532	6.920000	-0.002092	0.000367	0.002124
-0.1210	0.1532	6.919000	-0.001910	0.000343	0.001941
-0.1048	0.1532	6.919000	-0.001746	0.000308	0.001773
-0.0887	0.1532	6.918000	-0.001623	0.000267	0.001645
-0.0726	0.1532	6.918000	-0.001524	0.000221	0.001540
-0.0565	0.1532	6.918000	-0.001447	0.000174	0.001457
-0.0403	0.1532	6.917000	-0.001387	0.000124	0.001393
-0.0242	0.1532	6.917000	-0.001350	0.000075	0.001352
-0.0081	0.1532	6.917000	-0.001332	0.000025	0.001332
0.0081	0.1532	6.917000	-0.001332	-0.000025	0.001332
0.0242	0.1532	6.917000	-0.001350	-0.000075	0.001352
0.0403	0.1532	6.917000	-0.001387	-0.000124	0.001393
0.0565	0.1532	6.918000	-0.001447	-0.000174	0.001457
0.0726	0.1532	6.918000	-0.001524	-0.000221	0.001540
0.0887	0.1532	6.918000	-0.001623	-0.000267	0.001645
0.1048	0.1532	6.919000	-0.001746	-0.000308	0.001773
0.1210	0.1532	6.919000	-0.001910	-0.000343	0.001941
0.1371	0.1532	6.920000	-0.002092	-0.000367	0.002124
0.1532	0.1532	6.921000	-0.002302	-0.000375	0.002332
0.1694	0.1532	6.923000	-0.002551	-0.000362	0.002577
0.1855	0.1532	6.925000	-0.002840	-0.000319	0.002858
0.2016	0.1532	6.928000	-0.003167	-0.000235	0.003176
0.2177	0.1532	6.932000	-0.003539	-0.000097	0.003540
0.2339	0.1532	6.937000	-0.003950	0.000113	0.003951
0.2500	0.1532	6.943000	-0.004445	0.000411	0.004464
-0.2500	0.1694	6.944000	-0.005322	-0.000251	0.005328
-0.2339	0.1694	6.937000	-0.004823	-0.000002	0.004823
-0.2177	0.1694	6.932000	-0.004377	0.000170	0.004381
-0.2016	0.1694	6.928000	-0.003988	0.000282	0.003998
-0.1855	0.1694	6.925000	-0.003643	0.000347	0.003659
-0.1694	0.1694	6.922000	-0.003344	0.000378	0.003365
-0.1532	0.1694	6.920000	-0.003076	0.000382	0.003099
-0.1371	0.1694	6.919000	-0.002846	0.000368	0.002870
-0.1210	0.1694	6.917000	-0.002647	0.000341	0.002669
-0.1048	0.1694	6.916000	-0.002468	0.000305	0.002487
-0.0887	0.1694	6.916000	-0.002330	0.000263	0.002345
-0.0726	0.1694	6.915000	-0.002221	0.000218	0.002232
-0.0565	0.1694	6.915000	-0.002131	0.000171	0.002138
-0.0403	0.1694	6.915000	-0.002066	0.000122	0.002070
-0.0242	0.1694	6.915000	-0.002024	0.000074	0.002025
-0.0081	0.1694	6.914000	-0.002003	0.000025	0.002003
0.0081	0.1694	6.914000	-0.002003	-0.000025	0.002003
0.0242	0.1694	6.915000	-0.002024	-0.000074	0.002025
0.0403	0.1694	6.915000	-0.002066	-0.000122	0.002070
0.0565	0.1694	6.915000	-0.002131	-0.000171	0.002138
0.0726	0.1694	6.915000	-0.002221	-0.000218	0.002232
0.0887	0.1694	6.916000	-0.002330	-0.000263	0.002345
0.1048	0.1694	6.916000	-0.002468	-0.000305	0.002487
0.1210	0.1694	6.917000	-0.002647	-0.000341	0.002669
0.1371	0.1694	6.919000	-0.002846	-0.000368	0.002870
0.1532	0.1694	6.920000	-0.003076	-0.000382	0.003099
0.1694	0.1694	6.922000	-0.003344	-0.000378	0.003365
0.1855	0.1694	6.925000	-0.003643	-0.000347	0.003659
0.2016	0.1694	6.928000	-0.003988	-0.000282	0.003998
0.2177	0.1694	6.932000	-0.004377	-0.000170	0.004381
0.2339	0.1694	6.937000	-0.004823	0.000002	0.004823
0.2500	0.1694	6.944000	-0.005322	0.000251	0.005328
-0.2500	0.1855	6.945000	-0.006214	-0.000057	0.006214
-0.2339	0.1855	6.938000	-0.005703	0.000136	0.005705
-0.2177	0.1855	6.932000	-0.005240	0.000263	0.005246
-0.2016	0.1855	6.928000	-0.004834	0.000341	0.004846
-0.1855	0.1855	6.924000	-0.004473	0.000382	0.004489
-0.1694	0.1855	6.922000	-0.004146	0.000394	0.004165
-0.1532	0.1855	6.919000	-0.003865	0.000386	0.003884
-0.1371	0.1855	6.918000	-0.003616	0.000364	0.003634
-0.1210	0.1855	6.916000	-0.003403	0.000332	0.003419
-0.1048	0.1855	6.915000	-0.003223	0.000294	0.003237
-0.0887	0.1855	6.914000	-0.003060	0.000252	0.003071
-0.0726	0.1855	6.913000	-0.002938	0.000208	0.002945
-0.0565	0.1855	6.913000	-0.002853	0.000162	0.002858
-0.0403	0.1855	6.913000	-0.002782	0.000116	0.002785
-0.0242	0.1855	6.912000	-0.002735	0.000069	0.002736
-0.0081	0.1855	6.912000	-0.002712	0.000023	0.002712
0.0081	0.1855	6.912000	-0.002712	-0.000023	0.002712
0.0242	0.1855	6.912000	-0.002735	-0.000069	0.002736
0.0403	0.1855	6.913000	-0.002782	-0.000116	0.002785
0.0565	0.1855	6.913000	-0.002853	-0.000162	0.002858
0.0726	0.1855	6.913000	-0.002938	-0.000208	0.002945
0.0887	0.1855	6.914000	-0.003060	-0.000252	0.003071
0.1048	0.1855	6.915000	-0.003223	-0.000294	0.003237
0.1210	0.1855	6.916000	-0.003403	-0.000332	0.003419
0.1371	0.1855	6.918000	-0.003616	-0.000364	0.003634
0.1532	0.1855	6.919000	-0.003865	-0.000386	0.003884
0.1694	0.1855	6.922000	-0.004146	-0.000394	0.004165
0.1855	0.1855	6.924000	-0.004473	-0.000382	0.004489
0.2016	0.1855	6.928000	-0.004834	-0.000341	0.004846
0.2177	0.1855	6.932000	-0.005240	-0.000263	0.005246
0.2339	0.1855	6.938000	-0.005703	-0.000136	0.005705
0.2500	0.1855	6.945000	-0.006214	0.000057	0.006214
